nome_municipio,codigo_ibge
MUCAMBO,2309003
PACUJÁ,2309904
PIRES FERREIRA,2310951
RERIUTABA,2311702
SANTANA DO ACARAÚ,2312007
SENADOR SÁ,2312809
SOBRAL,2312908
ARÊS,2401206
SÃO JOSÉ DE MIPIBU,2412203
IELMO MARINHO,2404606
MACAÍBA,2407104
NÍSIA FLORESTA,2408201
SÃO GONÇALO DO AMARANTE,2412005
BOM JESUS,2401701
NATAL,2408102
MONTE ALEGRE,2407807
MAXARANGUAPE,2407500
GOIANINHA,2404200
EXTREMOZ,2403608
PARNAMIRIM,2403251
CEARÁ-MIRIM,2402600
VERA CRUZ,2414803
RIO TINTO,2512903
LUCENA,2508604
ALHANDRA,2500601
BAYEUX,2501807
SANTA RITA,2513703
PITIMBU,2511905
PEDRAS DE FOGO,2511202
JOÃO PESSOA,2507507
CRUZ DO ESPÍRITO SANTO,2504900
CONDE,2504603
CABEDELO,2503209
CAAPORÃ,2503001
GADO BRAVO,2506251
SERRA REDONDA,2515807
LAGOA SECA,2508307
ALCANTIL,2500536
MASSARANDUBA,2509206
AROEIRAS,2501302
BARRA DE SANTANA,2501575
PUXINANÃ,2512408
FAGUNDES,2506103
MATINHAS,2509339
NATUBA,2509909
CATURITÉ,2504355
CAMPINA GRANDE,2504009
SANTA CECÍLIA,2513158
QUEIMADAS,2512507
BOQUEIRÃO,2502508
BOA VISTA,2502151
UMBUZEIRO,2517001
ITATUBA,2507200
SERRA DA RAIZ,2515609
PILÕEZINHOS,2511707
ALAGOINHA,2500502
ARARA,2500908
BELÉM,2501906
LOGRADOURO,2508554
PILÕES,2511608
PIRPIRITUBA,2511806
SERTÃOZINHO,2515930
SOLÂNEA,2516003
ARAÇAGI,2500809
BANANEIRAS,2501500
BORBOREMA,2502706
CAIÇARA,2503605
CUITEGI,2505204
DUAS ESTRADAS,2505808
GUARABIRA,2506301
LAGOA DE DENTRO,2508208
MULUNGU,2509800
SERRARIA,2515906
SÃO JOSÉ DO BONFIM,2514602
SALGADINHO,2513000
VÁRZEA,2517100
MÃE D'ÁGUA,2508703
MATURÉIA,2509396
PASSAGEM,2510709
QUIXABA,2512606
SANTA LUZIA,2513406
SANTA TERESINHA,2513802
SÃO JOSÉ DE ESPINHARAS,2514404
SÃO JOSÉ DO SABUGI,2514701
TEIXEIRA,2516706
AREIA DE BARAÚNAS,2501153
CACIMBA DE AREIA,2503407
CACIMBAS,2503555
CONDADO,2504504
DESTERRO,2505402
VISTA SERRANA,2505501
EMAS,2505907
JUNCO DO SERIDÓ,2507804
MALTA,2508802
PATOS,2510808
SÃO MAMEDE,2514909
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2515104
ALGODÃO DE JANDAÍRA,2500577
AREIA,2501104
AREIAL,2501203
REMÍGIO,2512705
POCINHOS,2512002
ALAGOA NOVA,2500403
ESPERANÇA,2506004
MONTADAS,2509503
SÃO JOSÉ DE PIRANHAS,2514503
POÇO DANTAS,2512036
SÃO JOÃO DO RIO DO PEIXE,2500700
POÇO DE JOSÉ DE MOURA,2512077
SANTA HELENA,2513307
JOCA CLAUDINO,2513653
TRIUNFO,2516805
BERNARDINO BATISTA,2502052
BOM JESUS,2502201
BONITO DE SANTA FÉ,2502409
CACHOEIRA DOS ÍNDIOS,2503308
CAJAZEIRAS,2503704
CARRAPATEIRA,2504108
MONTE HOREBE,2509602
UIRAÚNA,2516904
SANTANA DOS GARROTES,2513604
SÃO JOSÉ DE CAIANA,2514305
SERRA GRANDE,2515708
AGUIAR,2500205
BOA VENTURA,2502102
IGARACY,2502607
CATINGUEIRA,2504207
CONCEIÇÃO,2504405
COREMAS,2504801
CURRAL VELHO,2505303
DIAMANTE,2505600
IBIARA,2506608
ITAPORANGA,2507002
NOVA OLINDA,2510204
PIANCÓ,2511301
SANTA INÊS,2513356
SANTANA DE MANGUEIRA,2513505
BARAÚNA,2501534
CUITÉ,2505105
PICUÍ,2511400
NOVA FLORESTA,2510105
SOSSÊGO,2516151
FREI MARTINHO,2506202
NOVA PALMEIRA,2510303
BARRA DE SANTA ROSA,2501609
ITAPOROROCA,2507101
PEDRO RÉGIS,2512721
MATARACA,2509305
MARCAÇÃO,2509057
MAMANGUAPE,2508901
CURRAL DE CIMA,2505279
JACARAÚ,2507309
BAÍA DA TRAIÇÃO,2501401
CUITÉ DE MAMANGUAPE,2505238
SANTA CRUZ,2513208
SÃO JOSÉ DA LAGOA TAPADA,2514206
VIEIRÓPOLIS,2517209
MARIZÓPOLIS,2509156
APARECIDA,2500775
NAZAREZINHO,2510006
SÃO FRANCISCO,2513984
LASTRO,2508406
SOUSA,2516201
SÃO JOSÉ DOS RAMOS,2514453
PILAR,2511509
SALGADO DE SÃO FÉLIX,2513109
GURINHÉM,2506400
INGÁ,2506806
CALDAS BRANDÃO,2503803
RIACHÃO DO BACAMARTE,2512754
MOGEIRO,2509404
JUAREZ TÁVORA,2507606
JURIPIRANGA,2507903
SÃO MIGUEL DE TAIPU,2515005
ITABAIANA,2506905
RIACHÃO,2512747
DONA INÊS,2505709
DAMIÃO,2505352
ARARUNA,2501005
TACIMA,2516409
CACIMBA DE DENTRO,2503506
ABREU E LIMA,2600054
OLINDA,2609600
MORENO,2609402
JABOATÃO DOS GUARARAPES,2607901
ITAPISSUMA,2607752
ILHA DE ITAMARACÁ,2607604
IGARASSU,2606804
CAMARAGIBE,2603454
CABO DE SANTO AGOSTINHO,2602902
SÃO LOURENÇO DA MATA,2613701
RECIFE,2611606
PAULISTA,2610707
IPOJUCA,2607208
ARAÇOIABA,2601052
PETROLINA,2611101
JUAZEIRO,2918407
SOBRADINHO,2930774
CASA NOVA,2907202
CURAÇÁ,2909901
OROCÓ,2609808
SANTA MARIA DA BOA VISTA,2612604
LAGOA GRANDE,2608750
BARRA DE SÃO MIGUEL,2700607
SATUBA,2708907
COQUEIRO SECO,2702207
RIO LARGO,2707701
PARIPUEIRA,2706448
MURICI,2705507
MESSIAS,2705200
MARECHAL DEODORO,2704708
MACEIÓ,2704302
ATALAIA,2700409
BARRA DE SANTO ANTÔNIO,2700508
PILAR,2706901
SANTA LUZIA DO NORTE,2707909
IGACI,2703106
JARAMATAIA,2703700
JUNQUEIRO,2704005
LAGOA DA CANOA,2704104
LIMOEIRO DE ANADIA,2704203
OLHO D'ÁGUA GRANDE,2705903
PALMEIRA DOS ÍNDIOS,2706307
GIRAU DO PONCIANO,2702900
FEIRA GRANDE,2702603
ESTRELA DE ALAGOAS,2702553
CAMPO GRANDE,2701506
BELÉM,2700805
CRAÍBAS,2702355
ARAPIRACA,2700300
TRAIPU,2709202
TAQUARANA,2709103
TANQUE D'ARCA,2709004
SÃO SEBASTIÃO,2708808
SÃO BRÁS,2708204
COITÉ DO NÓIA,2702009
BARRA DOS COQUEIROS,2800605
ARACAJU,2800308
SÃO CRISTÓVÃO,2806701
NOSSA SENHORA DO SOCORRO,2804805
SÃO SEBASTIÃO DO PASSÉ,2929503
SÃO FRANCISCO DO CONDE,2929206
CAMAÇARI,2905701
ITAPARICA,2916104
VERA CRUZ,2933208
SIMÕES FILHO,2930709
SALVADOR,2927408
POJUCA,2925204
CANDEIAS,2906501
MATA DE SÃO JOÃO,2921005
MADRE DE DEUS,2919926
LAURO DE FREITAS,2919207
DIAS D'ÁVILA,2910057
CONCEIÇÃO DO JACUÍPE,2908507
CONCEIÇÃO DA FEIRA,2908200
SÃO GONÇALO DOS CAMPOS,2929305
TANQUINHO,2931103
AMÉLIA RODRIGUES,2901106
FEIRA DE SANTANA,2910800
RIACHÃO DO JACUÍPE,2926301
IRARÁ,2914505
CANDEAL,2906402
SERRA PRETA,2930402
ANTÔNIO CARDOSO,2901700
SANTA BÁRBARA,2927507
IPECAETÁ,2913804
CORAÇÃO DE MARIA,2908903
SANTANÓPOLIS,2928307
ANGUERA,2901502
SARZEDO,3165537
FLORESTAL,3126000
SABARÁ,3156700
ITATIAIUÇU,3133709
JABOTICATUBAS,3134608
NOVA UNIÃO,3136603
MÁRIO CAMPOS,3140159
NOVA LIMA,3144805
BETIM,3106705
CAETÉ,3110004
PEDRO LEOPOLDO,3149309
BALDIM,3105004
BELO HORIZONTE,3106200
BRUMADINHO,3109006
CAPIM BRANCO,3112505
CONFINS,3117876
CONTAGEM,3118601
SÃO JOAQUIM DE BICAS,3162922
SÃO JOSÉ DA LAPA,3162955
TAQUARAÇU DE MINAS,3168309
VESPASIANO,3171204
ESMERALDAS,3124104
RAPOSOS,3153905
RIBEIRÃO DAS NEVES,3154606
RIO ACIMA,3154804
RIO MANSO,3155306
SANTA LUZIA,3157807
IBIRITÉ,3129806
IGARAPÉ,3130101
ITAGUARA,3132206
JUATUBA,3136652
LAGOA SANTA,3137601
MATEUS LEME,3140704
MATOZINHOS,3141108
FORTUNA DE MINAS,3126406
ITABIRITO,3131901
PARÁ DE MINAS,3147105
BELO VALE,3106408
BONFIM,3108107
MOEDA,3142304
BARÃO DE COCAIS,3105400
BOM JESUS DO AMPARO,3107703
SÃO GONÇALO DO RIO ABAIXO,3161908
SÃO JOSÉ DA VARGINHA,3163102
PRUDENTE DE MORAIS,3153608
SETE LAGOAS,3167202
SANTA BÁRBARA,3157203
FUNILÂNDIA,3127206
INHAÚMA,3131000
ITAÚNA,3133808
IPATINGA,3131307
TIMÓTEO,3168705
CORONEL FABRICIANO,3119401
SANTANA DO PARAÍSO,3158953
ANTÔNIO DIAS,3103009
MESQUITA,3141702
PERIQUITO,3149952
PINGO-D'ÁGUA,3150539
BELO ORIENTE,3106309
BOM JESUS DO GALHO,3107802
BRAÚNAS,3108800
BUGRE,3109253
CÓRREGO NOVO,3120003
SÃO JOÃO DO ORIENTE,3162609
SÃO JOSÉ DO GOIABAL,3163409
AÇUCENA,3100500
SOBRÁLIA,3167707
VARGEM ALEGRE,3170578
DIONÍSIO,3121803
DOM CAVATI,3122504
ENTRE FOLHAS,3123858
IAPU,3129301
IPABA,3131158
CARATINGA,3113404
NAQUE,3144359
JAGUARAÇU,3135001
JOANÉSIA,3136108
MARLIÉRIA,3140308
VIANA,3205101
CARIACICA,3201308
FUNDÃO,3202207
VITÓRIA,3205309
SERRA,3205002
VILA VELHA,3205200
GUARAPARI,3202405
DUQUE DE CAXIAS,3301702
JAPERI,3302270
ITAGUAÍ,3302007
TANGUÁ,3305752
MAGÉ,3302502
MARICÁ,3302700
MESQUITA,3302858
NILÓPOLIS,3303203
NITERÓI,3303302
NOVA IGUAÇU,3303500
PARACAMBI,3303609
PETRÓPOLIS,3303906
QUEIMADOS,3304144
RIO BONITO,3304300
RIO DE JANEIRO,3304557
SÃO GONÇALO,3304904
SÃO JOÃO DE MERITI,3305109
SEROPÉDICA,3305554
BELFORD ROXO,3300456
CACHOEIRAS DE MACACU,3300803
ITABORAÍ,3301900
GUAPIMIRIM,3301850
POÁ,3539806
SALESÓPOLIS,3545001
SANTA ISABEL,3546801
BIRITIBA MIRIM,3506607
ARUJÁ,3503901
SÃO PAULO,3550308
SUZANO,3552502
FERRAZ DE VASCONCELOS,3515707
ITAQUAQUECETUBA,3523107
GUARULHOS,3518800
GUARAREMA,3518305
MOGI DAS CRUZES,3530607
FRANCISCO MORATO,3516309
MAIRIPORÃ,3528502
CAIEIRAS,3509007
CAJAMAR,3509205
FRANCO DA ROCHA,3516408
SANTANA DE PARNAÍBA,3547304
ITAPEVI,3522505
CARAPICUÍBA,3510609
BARUERI,3505708
OSASCO,3534401
JANDIRA,3525003
PIRAPORA DO BOM JESUS,3539103
RIO GRANDE DA SERRA,3544103
MAUÁ,3529401
DIADEMA,3513801
RIBEIRÃO PIRES,3543303
SÃO CAETANO DO SUL,3548807
SANTO ANDRÉ,3547809
SÃO BERNARDO DO CAMPO,3548708
COTIA,3513009
JUQUITIBA,3526209
EMBU-GUAÇU,3515103
TABOÃO DA SERRA,3552809
EMBU DAS ARTES,3515004
VARGEM GRANDE PAULISTA,3556453
ITAPECERICA DA SERRA,3522208
SÃO LOURENÇO DA SERRA,3549953
GUARUJÁ,3518701
ITANHAÉM,3522109
SANTOS,3548500
CUBATÃO,3513504
PRAIA GRANDE,3541000
SÃO VICENTE,3551009
BERTIOGA,3506359
PERUÍBE,3537602
MONGAGUÁ,3531100
VALINHOS,3556206
SANTO ANTÔNIO DE POSSE,3548005
ENGENHEIRO COELHO,3515152
HOLAMBRA,3519055
HORTOLÂNDIA,3519071
INDAIATUBA,3520509
JAGUARIÚNA,3524709
ITATIBA,3523404
MONTE MOR,3531803
AMERICANA,3501608
ARTUR NOGUEIRA,3503802
SUMARÉ,3552403
CAMPINAS,3509502
COSMÓPOLIS,3512803
MORUNGABA,3532009
NOVA ODESSA,3533403
PAULÍNIA,3536505
PEDREIRA,3537107
SANTA BÁRBARA D'OESTE,3545803
VINHEDO,3556701
JAMBEIRO,3524907
CAÇAPAVA,3508504
SÃO JOSÉ DOS CAMPOS,3549904
PARAIBUNA,3535606
SANTA BRANCA,3546009
JACAREÍ,3524402
IGARATÁ,3520202
MONTEIRO LOBATO,3531704
TREMEMBÉ,3554805
SÃO BENTO DO SAPUCAÍ,3548609
REDENÇÃO DA SERRA,3542305
PINDAMONHANGABA,3538006
NATIVIDADE DA SERRA,3532306
CAMPOS DO JORDÃO,3509700
TAUBATÉ,3554102
SÃO LUIZ DO PARAITINGA,3550001
SANTO ANTÔNIO DO PINHAL,3548203
LAGOINHA,3526308
POTIM,3540754
LORENA,3527207
CANAS,3509957
GUARATINGUETÁ,3518404
APARECIDA,3502507
CACHOEIRA PAULISTA,3508603
PIQUETE,3538501
ROSEIRA,3544301
CUNHA,3513603
AREIAS,3503505
CRUZEIRO,3513405
LAVRINHAS,3526605
QUELUZ,3541901
SILVEIRAS,3552007
ARAPEÍ,3503158
BANANAL,3504909
SÃO JOSÉ DO BARREIRO,3549607
ILHABELA,3520400
UBATUBA,3555406
SÃO SEBASTIÃO,3550704
CARAGUATATUBA,3510500
TIETÊ,3554508
CAPELA DO ALTO,3510302
SARAPUÍ,3551108
TATUÍ,3554003
CESÁRIO LANGE,3511607
BOITUVA,3507001
ITAPETININGA,3522307
ALAMBARI,3500758
JUMIRIM,3525854
CERQUILHO,3511508
SÃO ROQUE,3550605
MAIRINQUE,3528403
ITU,3523909
IBIÚNA,3519709
ALUMÍNIO,3501152
SALTO,3545209
PORTO FELIZ,3540606
ARAÇARIGUAMA,3502754
VOTORANTIM,3557006
SALTO DE PIRAPORA,3545308
ARAÇOIABA DA SERRA,3502903
TAPIRAÍ,3553500
SOROCABA,3552205
PIEDADE,3537800
PILAR DO SUL,3537909
SÃO MIGUEL ARCANJO,3550209
IPERÓ,3521002
DUMONT,3514601
SANTA RITA DO PASSA QUATRO,3547502
GUATAPARÁ,3518859
RIBEIRÃO PRETO,3543402
PRADÓPOLIS,3540903
PONTAL,3540200
BRODOWSKI,3507803
BARRINHA,3505609
SERRANA,3551504
SERRA AZUL,3551405
SÃO SIMÃO,3550902
SERTÃOZINHO,3551702
LUÍS ANTÔNIO,3527603
JARDINÓPOLIS,3525102
CRAVINHOS,3513108
MONTE ALTO,3531308
JABOTICABAL,3524303
PITANGUEIRAS,3539509
TAIÚVA,3553203
GUARIBA,3518602
TAQUARAL,3553658
TAMBAÚ,3553302
CAJURU,3509403
SANTA CRUZ DA ESPERANÇA,3546256
SANTA ROSA DE VITERBO,3547601
CÁSSIA DOS COQUEIROS,3510906
MOCOCA,3530508
MORRO AGUDO,3531902
SANTO ANTÔNIO DA ALEGRIA,3547908
NUPORANGA,3533601
ORLÂNDIA,3534302
SALES OLIVEIRA,3544905
ALTINÓPOLIS,3501004
BATATAIS,3505906
ADRIANÓPOLIS,4100202
ALMIRANTE TAMANDARÉ,4100400
FAZENDA RIO GRANDE,4107652
LAPA,4113205
MANDIRITUBA,4114302
PIÊN,4119103
PIRAQUARA,4119509
TIJUCAS DO SUL,4127601
TUNAS DO PARANÁ,4127882
DOUTOR ULYSSES,4128633
SÃO JOSÉ DOS PINHAIS,4125506
COLOMBO,4105805
CONTENDA,4106209
CURITIBA,4106902
ITAPERUÇU,4111258
PINHAIS,4119152
QUATRO BARRAS,4120804
QUITANDINHA,4121208
RIO BRANCO DO SUL,4122206
RIO NEGRO,4122305
AGUDOS DO SUL,4100301
ARAUCÁRIA,4101804
BALSA NOVA,4102307
BOCAIÚVA DO SUL,4103107
CAMPINA GRANDE DO SUL,4104006
CAMPO DO TENENTE,4104105
CAMPO LARGO,4104204
CAMPO MAGRO,4104253
CERRO AZUL,4105201
GUARACI,4109203
CENTENÁRIO DO SUL,4105102
LUPIONÓPOLIS,4113809
MIRASELVA,4116000
PITANGUEIRAS,4119657
PORECATU,4120002
PRADO FERREIRA,4120333
PRIMEIRO DE MAIO,4120507
ALVORADA DO SUL,4100806
SERTANEJA,4126405
SERTANÓPOLIS,4126504
TAMARANA,4126678
URAÍ,4128401
FLORESTÓPOLIS,4108007
IBIPORÃ,4109807
JATAIZINHO,4112702
LONDRINA,4113700
RANCHO ALEGRE,4121307
ROLÂNDIA,4122404
SABÁUDIA,4122701
ARAPONGAS,4101507
ASSAÍ,4101903
BELA VISTA DO PARAÍSO,4102802
CAMBÉ,4103701
JAGUAPITÃ,4111902
FLÓRIDA,4108106
CAMBIRA,4103800
LOBATO,4113601
MANDAGUAÇU,4114104
MARINGÁ,4115200
OURIZONA,4117404
PAIÇANDU,4117503
ÂNGULO,4101150
SARANDI,4126256
DOUTOR CAMARGO,4107306
FLORAÍ,4107801
FLORESTA,4107900
IGUARAÇU,4110003
ITAMBÉ,4111100
IVATUBA,4111605
MANDAGUARI,4114203
MARIALVA,4114807
MUNHOZ DE MELO,4116307
NOVA ESPERANÇA,4116901
PRESIDENTE CASTELO BRANCO,4120408
SANTA FÉ,4123402
SÃO JORGE DO IVAÍ,4125308
ASTORGA,4102109
ATALAIA,4102208
BOM SUCESSO,4103206
JANDAIA DO SUL,4112108
DOURADINA,4107256
CAFEZAL DO SUL,4103479
ICARAÍMA,4109906
IVATÉ,4111555
MARIA HELENA,4114708
PÉROLA,4118907
TAPIRA,4126900
UMUARAMA,4128104
XAMBRÊ,4128807
CRUZEIRO DO OESTE,4106605
ALTO PIQUIRI,4100707
TAPEJARA,4126801
TUNEIRAS DO OESTE,4127908
ALTO PARAÍSO,4128625
CIDADE GAÚCHA,4105607
FRANCISCO ALVES,4108320
IPORÃ,4110607
MARILUZ,4115101
NOVA OLÍMPIA,4117206
PEROBAL,4118857
SÃO JORGE DO PATROCÍNIO,4125357
ALTÔNIA,4100509
BRASILÂNDIA DO SUL,4103370
ESPERANÇA NOVA,4107520
GODOY MOREIRA,4108551
CALIFÓRNIA,4103503
JARDIM ALEGRE,4112504
MARILÂNDIA DO SUL,4114906
MAUÁ DA SERRA,4115754
NOVO ITACOLOMI,4117297
CRUZMALTINA,4106852
SÃO PEDRO DO IVAÍ,4125803
FAXINAL,4107603
IVAIPORÃ,4111506
KALORÉ,4113106
LIDIANÓPOLIS,4113429
LUNARDELLI,4113759
MARUMBI,4115507
RIO BOM,4122107
RIO BRANCO DO IVAÍ,4122172
ROSÁRIO DO IVAÍ,4122651
SÃO JOÃO DO IVAÍ,4125001
APUCARANA,4101408
ARAPUÃ,4101655
ARIRANHA DO IVAÍ,4101853
BORRAZÓPOLIS,4103305
GRANDES RIOS,4108700
ARARUNA,4101705
BARBOSA FERRAZ,4102505
BOA ESPERANÇA,4103008
CAMPINA DA LAGOA,4103909
CAMPO MOURÃO,4104303
CORUMBATAÍ DO SUL,4106555
ENGENHEIRO BELTRÃO,4107504
FÊNIX,4107702
GOIOERÊ,4108601
IRETAMA,4110805
JANIÓPOLIS,4112207
JURANDA,4112959
MAMBORÊ,4114005
NOVA CANTU,4116802
QUINTA DO SOL,4121109
RANCHO ALEGRE D'OESTE,4121356
RONCADOR,4122503
ALTAMIRA DO PARANÁ,4100459
TERRA BOA,4127205
UBIRATÃ,4128005
FAROL,4107553
LUIZIANA,4113734
MOREIRA SALES,4116109
PEABIRU,4118808
QUARTO CENTENÁRIO,4120655
TRÊS BARRAS DO PARANÁ,4127858
SANTA TEREZA DO OESTE,4124020
IBEMA,4109757
IGUATU,4110052
IRACEMA DO OESTE,4110656
JESUÍTAS,4112751
LINDOESTE,4113452
MATELÂNDIA,4115606
NOVA AURORA,4116703
VERA CRUZ DO OESTE,4128559
ANAHY,4101051
BOA VISTA DA APARECIDA,4103057
BRAGANEY,4103354
CAFELÂNDIA,4103453
CAMPO BONITO,4104055
CAPITÃO LEÔNIDAS MARQUES,4104600
CASCAVEL,4104808
CATANDUVAS,4105003
CÉU AZUL,4105300
CORBÉLIA,4106308
FORMOSA DO OESTE,4108205
GUARANIAÇU,4109302
SANTA LÚCIA,4123824
DIAMANTE DO SUL,4107124
SÃO JOSÉ DAS PALMEIRAS,4125456
SANTA HELENA,4123501
TERRA ROXA,4127403
TOLEDO,4127700
TUPÃSSI,4127957
MARIPÁ,4115358
MERCEDES,4115853
NOVA SANTA ROSA,4117222
PATO BRAGADO,4118451
ASSIS CHATEAUBRIAND,4102000
DIAMANTE D'OESTE,4107157
ENTRE RIOS DO OESTE,4107538
GUAÍRA,4108809
MARECHAL CÂNDIDO RONDON,4114609
OURO VERDE DO OESTE,4117453
PALOTINA,4117909
QUATRO PONTES,4120853
SÃO PEDRO DO IGUAÇU,4125753
ÁGUAS MORNAS,4200606
GOVERNADOR CELSO RAMOS,4206009
FLORIANÓPOLIS,4205407
PALHOÇA,4211900
SÃO PEDRO DE ALCÂNTARA,4217253
SÃO JOSÉ,4216602
SANTO AMARO DA IMPERATRIZ,4215703
BIGUAÇU,4202305
ANTÔNIO CARLOS,4201208
LEOBERTO LEAL,4209805
GAROPABA,4205704
CANELINHA,4203709
MAJOR GERCINO,4210209
SÃO BONIFÁCIO,4215901
SÃO JOÃO BATISTA,4216305
TIJUCAS,4218004
ANGELINA,4200903
ALFREDO WAGNER,4200705
RANCHO QUEIMADO,4214300
NOVA TRENTO,4211504
PAULO LOPES,4212304
ANITÁPOLIS,4201109
INDAIAL,4207502
POMERODE,4213203
BLUMENAU,4202404
GASPAR,4205902
TIMBÓ,4218202
BENEDITO NOVO,4202206
BOTUVERÁ,4202701
DOUTOR PEDRINHO,4205159
GUABIRUBA,4206306
ILHOTA,4207106
RODEIO,4215109
RIO DOS CEDROS,4214706
APIÚNA,4201257
BRUSQUE,4202909
LUIZ ALVES,4210001
ASCURRA,4201703
JOINVILLE,4209102
ARAQUARI,4201307
BALNEÁRIO BARRA DO SUL,4202057
BELA VISTA DO TOLDO,4202131
CAMPO ALEGRE,4203303
CANOINHAS,4203808
SÃO BENTO DO SUL,4215802
SÃO FRANCISCO DO SUL,4216206
SÃO JOÃO DO ITAPERIÚ,4216354
BARRA VELHA,4202107
ITAIÓPOLIS,4208104
MAFRA,4210100
MASSARANDUBA,4210605
PAPANDUVA,4212205
PORTO UNIÃO,4213609
RIO NEGRINHO,4215000
CORUPÁ,4204509
GARUVA,4205803
GUARAMIRIM,4206504
IRINEÓPOLIS,4207908
ITAPOÁ,4208450
